customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,churned,Historical_LTV,Predictive_LTV,Cluster,Segment_Name
27,47,Male,India,74685,51,35,44.68,12,0,1563.8,1195.565749235474,3.0,Loyal Customers
28,29,Male,USA,44097,56,17,32.12,5,0,546.04,1001.9082568807338,0.0,At Risk Customers
29,60,Female,Brazil,48679,53,38,39.06,14,0,1484.2800000000002,972.6605504587156,3.0,Loyal Customers
30,47,Male,France,52479,46,19,46.73,5,0,887.8699999999999,1629.1192660550457,0.0,At Risk Customers
31,64,Female,India,68630,53,29,51.14,9,0,1483.06,1511.783893985729,3.0,Loyal Customers
32,60,Male,India,52317,5,24,33.61,11,0,806.64,672.7606338615512,3.0,Loyal Customers
33,70,Female,India,41175,52,15,34.11,4,0,511.65,1173.5091743119265,3.0,Loyal Customers
34,55,Male,USA,110571,89,18,61.1,1,0,1099.8,10089.908256880733,0.0,At Risk Customers
35,24,Female,Germany,80985,61,24,49.0,6,0,1176.0,1798.165137614679,0.0,At Risk Customers
36,65,Female,USA,62863,31,29,40.59,12,0,1177.1100000000001,899.9311926605504,3.0,Loyal Customers
37,58,Male,Australia,51883,96,17,44.97,3,0,764.49,2337.889908256881,1.0,Champions / Top Spenders
38,18,Male,India,53324,49,8,49.17,0,0,393.36,3608.8073394495414,0.0,At Risk Customers
39,43,Female,UK,123560,64,43,65.15,14,0,2801.4500000000003,1835.8125819134996,3.0,Loyal Customers
40,64,Male,Germany,78108,67,15,50.55,2,0,758.25,3478.211009174312,2.0,New / Low Engagement
41,44,Female,India,64826,49,24,35.85,7,0,860.4000000000001,1127.653997378768,0.0,At Risk Customers
42,37,Male,USA,52309,88,23,57.04,5,0,1311.92,2407.192660550458,0.0,At Risk Customers
43,65,Male,Australia,48657,70,31,34.53,11,0,1070.43,892.7689741451211,0.0,At Risk Customers
44,64,Male,Australia,104706,82,42,48.13,14,0,2021.46,1324.678899082569,0.0,At Risk Customers
45,31,Male,Australia,123714,61,26,49.91,7,0,1297.6599999999999,1700.7339449541284,3.0,Loyal Customers
46,64,Male,USA,165148,15,16,59.24,3,0,947.84,2898.593272171254,3.0,Loyal Customers
47,45,Male,France,68891,100,12,44.54,0,0,534.48,4903.48623853211,0.0,At Risk Customers
48,42,Female,Japan,103250,66,41,55.52,14,0,2276.32,1491.6906946264744,0.0,At Risk Customers
49,39,Male,UK,115437,68,29,51.09,9,1,1481.6100000000001,1510.3058103975538,1.0,Champions / Top Spenders
50,24,Female,India,51623,53,13,31.19,3,0,405.47,1239.9694189602446,3.0,Loyal Customers
51,29,Female,Germany,72639,12,15,39.1,4,0,586.5,1345.1834862385322,0.0,At Risk Customers
52,53,Male,Germany,106920,2,29,47.28,11,0,1371.1200000000001,1143.5529608006673,1.0,Champions / Top Spenders
53,18,Female,South Africa,61354,60,11,38.92,0,0,428.12,3927.706422018349,0.0,At Risk Customers
54,48,Male,USA,63890,90,28,54.99,7,0,1539.72,2017.9816513761468,0.0,At Risk Customers
55,24,Male,Australia,129197,82,21,63.89,4,0,1341.69,3077.270642201835,1.0,Champions / Top Spenders
56,35,Male,USA,62574,4,3,36.55,0,1,109.64999999999999,1005.9633027522935,2.0,New / Low Engagement
57,55,Female,Canada,152239,29,39,63.7,14,0,2484.3,1627.9816513761466,3.0,Loyal Customers
58,29,Female,South Africa,34324,7,19,30.18,8,1,573.42,657.591743119266,3.0,Loyal Customers
59,43,Male,Japan,102871,62,19,57.63,3,0,1094.97,3348.532110091743,0.0,At Risk Customers
60,28,Female,Germany,59316,100,30,60.29,8,0,1808.7,2074.197247706422,1.0,Champions / Top Spenders
61,52,Female,India,25471,13,13,24.72,5,1,321.36,589.6513761467891,0.0,At Risk Customers
62,35,Male,UK,132984,86,22,73.0,4,0,1606.0,3683.4862385321103,3.0,Loyal Customers
63,63,Male,Brazil,51006,2,18,35.48,8,1,638.64,732.3853211009174,0.0,At Risk Customers
64,62,Male,Canada,125241,69,30,61.97,8,0,1859.1,2131.9954128440368,1.0,Champions / Top Spenders
65,18,Female,Japan,75793,51,8,55.17,0,1,441.36,4049.1743119266057,3.0,Loyal Customers
66,37,Male,Canada,55073,32,24,35.5,9,0,852.0,868.5015290519876,0.0,At Risk Customers
67,29,Female,Australia,147313,60,31,55.55,8,0,1722.05,1974.8279816513761,3.0,Loyal Customers
68,38,Male,India,66581,96,18,58.32,3,0,1049.76,3210.2752293577983,2.0,New / Low Engagement
69,69,Male,India,42106,89,17,48.23,3,0,819.91,2507.37003058104,3.0,Loyal Customers
70,68,Female,Germany,100053,63,22,47.6,6,0,1047.2,1601.223241590214,0.0,At Risk Customers
71,48,Male,Germany,102632,87,30,61.63,9,0,1848.9,1884.7094801223243,0.0,At Risk Customers
72,30,Female,USA,68663,76,23,51.29,5,0,1179.67,2164.5321100917427,0.0,At Risk Customers
73,47,Male,Germany,80935,80,44,61.63,15,0,2711.7200000000003,1658.544342507645,0.0,At Risk Customers
74,66,Female,Germany,173654,42,22,60.07,5,1,1321.54,2424.844036697248,3.0,Loyal Customers
75,66,Male,Australia,75601,74,11,52.0,0,0,572.0,5247.706422018348,3.0,Loyal Customers
76,23,Female,Germany,49008,52,11,49.12,1,0,540.3199999999999,4957.064220183485,3.0,Loyal Customers
77,23,Male,Brazil,44193,81,17,50.25,3,0,854.25,2612.3853211009173,0.0,At Risk Customers
78,29,Male,Germany,141536,52,32,48.97,10,0,1567.04,1437.651376146789,3.0,Loyal Customers
79,60,Female,India,59464,76,23,37.64,5,0,865.72,1588.4770642201834,0.0,At Risk Customers
80,62,Male,USA,139813,58,25,57.78,6,0,1444.5,2208.7155963302753,2.0,New / Low Engagement
81,57,Male,USA,74130,88,23,52.8,5,0,1214.3999999999999,2228.256880733945,3.0,Loyal Customers
82,21,Male,Canada,69755,79,16,43.3,3,0,692.8,2118.654434250764,3.0,Loyal Customers
83,21,Male,Australia,109569,61,18,62.55,3,0,1125.8999999999999,3443.1192660550455,0.0,At Risk Customers
84,65,Female,USA,116644,43,29,53.35,10,0,1547.15,1419.4036697247707,0.0,At Risk Customers
85,35,Male,USA,89098,2,31,42.97,13,0,1332.07,940.0635144671841,0.0,At Risk Customers
86,67,Male,Australia,107733,67,34,60.94,10,0,2071.96,1900.880733944954,0.0,At Risk Customers
87,46,Female,USA,144175,61,40,54.04,14,0,2161.6,1416.51376146789,2.0,New / Low Engagement
88,49,Female,Australia,64003,66,21,40.29,6,0,846.09,1293.715596330275,3.0,Loyal Customers
89,45,Female,USA,71924,23,25,43.47,10,1,1086.75,997.0183486238532,0.0,At Risk Customers
90,46,Male,France,61611,95,39,55.82,12,0,2176.98,1664.3577981651376,0.0,At Risk Customers
91,50,Male,UK,160669,93,41,63.03,12,0,2584.23,1975.7110091743118,3.0,Loyal Customers
92,36,Female,Australia,99353,66,20,43.4,4,1,868.0,1990.8256880733945,3.0,Loyal Customers
93,25,Male,Canada,69598,65,13,46.25,2,1,601.25,2758.02752293578,0.0,At Risk Customers
94,44,Male,USA,52614,93,41,52.26,14,0,2142.66,1404.1022280471818,0.0,At Risk Customers
95,32,Female,Japan,126930,53,25,65.44,7,0,1636.0,2144.167758846658,1.0,Champions / Top Spenders
96,57,Male,Japan,59229,19,6,42.53,0,0,255.18,2341.1009174311926,0.0,At Risk Customers
97,34,Male,USA,149375,76,44,57.53,15,0,2531.32,1548.2079510703363,1.0,Champions / Top Spenders
98,58,Male,Brazil,29383,84,10,40.12,0,0,401.2,3680.733944954128,0.0,At Risk Customers
99,29,Male,Brazil,31252,64,26,38.86,8,0,1010.36,1158.6697247706422,2.0,New / Low Engagement
100,68,Male,India,54516,27,26,44.83,11,0,1165.58,972.1267723102586,1.0,Champions / Top Spenders
101,18,Male,UK,75852,24,5,46.3,0,0,231.5,2123.853211009174,0.0,At Risk Customers
102,25,Female,Germany,131872,62,25,60.62,6,0,1515.5,2317.2782874617737,0.0,At Risk Customers
103,28,Male,Canada,51958,67,29,47.97,10,0,1391.1299999999999,1276.2660550458716,0.0,At Risk Customers
104,67,Male,Canada,176587,11,32,67.31,11,0,2153.92,1796.4303586321935,0.0,At Risk Customers
105,25,Male,UK,141734,85,22,71.83,3,0,1580.26,4832.599388379205,3.0,Loyal Customers
106,32,Female,India,46189,68,19,38.35,4,0,728.65,1671.2155963302753,1.0,Champions / Top Spenders
107,25,Male,Brazil,41748,29,6,32.45,0,0,194.70000000000002,1786.238532110092,2.0,New / Low Engagement
108,29,Female,Brazil,70220,47,29,52.37,11,0,1518.73,1266.6638865721434,0.0,At Risk Customers
109,63,Male,India,55771,79,32,51.81,10,0,1657.92,1521.02752293578,3.0,Loyal Customers
110,21,Female,Canada,95375,26,14,52.98,3,0,741.7199999999999,2268.256880733945,2.0,New / Low Engagement
111,36,Female,USA,108813,86,27,60.38,7,0,1630.26,2136.6448230668416,0.0,At Risk Customers
112,65,Female,India,69090,91,32,47.59,10,1,1522.88,1397.1376146788991,0.0,At Risk Customers
113,50,Female,Germany,174440,49,22,58.46,3,0,1286.1200000000001,3933.0886850152906,1.0,Champions / Top Spenders
114,32,Male,South Africa,60363,17,10,39.3,3,1,393.0,1201.834862385321,3.0,Loyal Customers
115,52,Female,UK,111889,74,20,59.01,3,0,1180.2,3609.1743119266052,3.0,Loyal Customers
116,54,Male,India,40940,18,15,30.95,5,1,464.25,851.834862385321,1.0,Champions / Top Spenders
117,44,Male,India,46817,75,11,40.53,1,0,445.83000000000004,4090.1834862385326,0.0,At Risk Customers
118,33,Male,USA,135023,62,39,50.3,13,0,1961.6999999999998,1384.4036697247705,2.0,New / Low Engagement
119,69,Male,USA,117523,36,34,46.32,12,0,1574.88,1204.0366972477066,3.0,Loyal Customers
120,32,Female,Japan,95325,30,20,38.53,6,0,770.6,1178.2874617737004,2.0,New / Low Engagement
121,36,Female,USA,49872,42,19,37.45,6,0,711.5500000000001,1087.9969418960245,1.0,Champions / Top Spenders
122,21,Female,Brazil,54833,14,5,29.43,0,1,147.15,1350.0,3.0,Loyal Customers
123,52,Female,India,69865,82,13,54.42,0,0,707.46,6490.458715596331,0.0,At Risk Customers
124,57,Male,USA,67489,48,33,37.82,13,0,1248.06,880.7762879322512,3.0,Loyal Customers
125,42,Female,South Africa,64119,53,15,40.85,2,0,612.75,2810.7798165137615,0.0,At Risk Customers
126,68,Male,Brazil,82908,8,27,37.23,11,0,1005.2099999999999,838.3736447039199,3.0,Loyal Customers
127,29,Female,Brazil,78750,59,16,44.84,3,0,717.44,2194.006116207951,1.0,Champions / Top Spenders
128,22,Female,India,69592,27,12,34.38,2,0,412.56000000000006,1892.4770642201838,0.0,At Risk Customers
129,57,Male,Brazil,28443,90,33,49.12,11,0,1620.9599999999998,1351.926605504587,0.0,At Risk Customers
130,31,Female,UK,106308,68,29,50.86,8,0,1474.94,1691.4449541284405,3.0,Loyal Customers
131,54,Female,Brazil,53228,27,20,29.95,7,0,599.0,785.0589777195281,3.0,Loyal Customers
132,70,Male,USA,170143,78,18,73.37,1,0,1320.66,12116.146788990827,3.0,Loyal Customers
133,47,Male,France,89473,16,14,47.44,3,1,664.16,2031.0703363914372,3.0,Loyal Customers
134,67,Male,Germany,156580,46,15,59.87,1,0,898.05,8238.990825688074,0.0,At Risk Customers
135,36,Female,India,68972,31,28,45.14,10,0,1263.92,1159.559633027523,1.0,Champions / Top Spenders
136,30,Male,France,31280,20,6,39.51,2,1,237.06,1087.4311926605506,0.0,At Risk Customers
137,45,Female,Germany,61599,29,27,43.75,10,0,1181.25,1083.7155963302753,3.0,Loyal Customers
138,38,Female,France,40541,21,16,27.59,6,0,441.44,674.9847094801222,0.0,At Risk Customers
139,43,Male,Brazil,78489,44,38,37.07,14,0,1408.66,923.1061598951508,2.0,New / Low Engagement
140,59,Male,UK,140426,9,38,57.29,15,0,2177.02,1331.5107033639142,3.0,Loyal Customers
141,19,Male,Germany,134534,75,19,54.1,1,0,1027.9,9430.2752293578,1.0,Champions / Top Spenders
142,47,Female,India,46669,9,9,31.38,3,0,282.42,863.6697247706422,2.0,New / Low Engagement
143,39,Male,Canada,83752,74,17,60.87,3,0,1034.79,3164.4954128440368,3.0,Loyal Customers
144,68,Male,USA,71726,28,18,33.76,5,1,607.68,1115.0091743119267,2.0,New / Low Engagement
145,19,Male,USA,122092,70,17,63.88,1,0,1085.96,9962.935779816515,0.0,At Risk Customers
146,38,Female,Germany,41112,68,28,44.07,9,0,1233.96,1257.8593272171256,1.0,Champions / Top Spenders
147,18,Female,India,67787,54,10,48.78,0,0,487.8,4475.229357798165,3.0,Loyal Customers
148,36,Male,India,61242,64,17,53.56,3,0,910.52,2784.464831804282,0.0,At Risk Customers
149,66,Female,France,94651,30,30,41.01,11,0,1230.3,1026.1050875729773,0.0,At Risk Customers
150,70,Male,Germany,73191,75,25,56.41,7,0,1410.25,1848.2961992136304,3.0,Loyal Customers
151,29,Female,USA,98102,9,17,44.15,5,0,750.55,1377.155963302752,3.0,Loyal Customers
152,67,Male,Canada,107866,56,14,51.79,2,0,725.06,3325.963302752293,0.0,At Risk Customers
153,55,Male,UK,71462,16,29,36.55,11,0,1059.9499999999998,884.0283569641366,0.0,At Risk Customers
154,41,Female,USA,86047,6,26,38.17,10,0,992.4200000000001,910.4770642201835,0.0,At Risk Customers
155,37,Male,USA,123418,94,34,62.77,8,0,2134.1800000000003,2447.454128440367,2.0,New / Low Engagement
156,70,Male,Germany,92677,77,20,63.66,3,0,1273.1999999999998,3893.577981651376,0.0,At Risk Customers
157,46,Female,India,30928,8,31,29.28,14,1,907.6800000000001,594.8099606815205,0.0,At Risk Customers
158,58,Male,Canada,166503,59,38,57.6,12,0,2188.8,1673.394495412844,2.0,New / Low Engagement
159,33,Female,Brazil,43595,69,21,45.55,6,0,956.55,1462.6146788990825,1.0,Champions / Top Spenders
160,58,Male,India,35114,11,12,24.61,4,0,295.32,677.3394495412844,0.0,At Risk Customers
161,69,Female,Canada,154762,67,31,73.16,8,0,2267.96,2600.8715596330276,3.0,Loyal Customers
162,41,Female,Canada,50302,37,23,38.57,7,1,887.11,1162.6605504587155,1.0,Champions / Top Spenders
163,24,Male,India,63205,29,11,42.79,3,0,470.69,1439.4189602446481,0.0,At Risk Customers
164,31,Female,UK,84833,96,33,57.38,10,0,1893.5400000000002,1737.1926605504586,2.0,New / Low Engagement
165,25,Female,India,71623,90,16,56.65,1,0,906.4,8315.59633027523,3.0,Loyal Customers
166,22,Male,Japan,145694,30,18,52.47,4,0,944.46,2166.1926605504586,0.0,At Risk Customers
167,56,Male,USA,129703,48,40,56.64,14,0,2265.6,1484.6657929226735,1.0,Champions / Top Spenders
168,20,Female,Canada,62500,55,11,37.23,1,0,409.53,3757.155963302752,2.0,New / Low Engagement
169,63,Female,USA,125817,43,23,47.48,5,0,1092.04,2003.7431192660547,2.0,New / Low Engagement
170,55,Female,Brazil,67532,76,23,45.15,6,0,1038.45,1587.8440366972477,0.0,At Risk Customers
171,41,Male,Australia,59948,81,32,43.05,11,0,1377.6,1148.9574645537948,0.0,At Risk Customers
172,51,Male,Germany,145412,12,35,49.27,12,0,1724.45,1318.3868501529053,2.0,New / Low Engagement
173,27,Male,France,76806,23,24,32.67,9,0,784.08,799.2660550458716,3.0,Loyal Customers
174,64,Male,Canada,108668,59,16,63.16,3,1,1010.56,3090.3975535168192,0.0,At Risk Customers
175,39,Male,UK,141417,79,36,61.47,10,0,2212.92,2030.2018348623853,0.0,At Risk Customers
176,37,Male,Germany,84349,42,26,49.6,9,0,1289.6000000000001,1314.5769622833843,0.0,At Risk Customers
177,57,Male,UK,175453,74,46,61.1,15,0,2810.6,1719.0214067278291,3.0,Loyal Customers
178,42,Male,USA,62595,78,12,40.44,0,0,485.28,4452.1100917431195,0.0,At Risk Customers
179,37,Female,UK,121632,87,30,55.07,7,0,1652.1,2165.2686762778503,2.0,New / Low Engagement
180,38,Female,India,35127,64,22,39.23,7,0,863.06,1131.1402359108781,0.0,At Risk Customers
181,59,Male,USA,126954,89,21,59.14,2,0,1241.94,5696.972477064221,0.0,At Risk Customers
182,67,Female,USA,80058,19,31,45.51,13,0,1410.81,995.6316160903317,3.0,Loyal Customers
183,27,Female,Germany,45027,96,15,38.89,2,0,583.35,2675.917431192661,3.0,Loyal Customers
184,36,Female,UK,72745,20,14,39.42,4,0,551.88,1265.7798165137615,2.0,New / Low Engagement
185,51,Male,India,90909,29,18,48.63,5,0,875.34,1606.1284403669727,2.0,New / Low Engagement
186,35,Male,Germany,68013,41,17,51.07,5,0,868.19,1593.0091743119267,0.0,At Risk Customers
187,61,Male,USA,137242,91,33,60.79,8,0,2006.07,2300.538990825688,0.0,At Risk Customers
188,45,Male,Germany,64105,72,38,39.17,13,0,1488.46,1050.4304869442485,0.0,At Risk Customers
189,53,Female,India,71049,82,41,55.59,14,0,2279.19,1493.5714285714284,3.0,Loyal Customers
190,60,Female,India,44865,99,21,39.59,4,0,831.3900000000001,1906.8577981651379,0.0,At Risk Customers
191,70,Male,Germany,165842,11,26,55.14,8,1,1433.64,1644.0825688073396,1.0,Champions / Top Spenders
192,20,Female,Australia,148011,4,8,40.52,1,0,324.16,2973.9449541284407,1.0,Champions / Top Spenders
193,19,Female,India,32037,66,9,37.06,1,0,333.54,3060.0,1.0,Champions / Top Spenders
194,26,Male,Japan,121900,42,10,52.18,0,0,521.8,4787.155963302752,2.0,New / Low Engagement
195,22,Male,Canada,104824,88,19,60.87,3,0,1156.53,3536.788990825688,3.0,Loyal Customers
196,30,Female,France,45015,66,14,39.15,2,0,548.1,2514.2201834862385,0.0,At Risk Customers
197,66,Female,Brazil,85644,90,43,50.18,14,0,2157.74,1413.9842726081258,3.0,Loyal Customers
198,68,Male,UK,70352,89,19,54.54,4,0,1036.26,2376.743119266055,0.0,At Risk Customers
199,51,Female,India,85874,62,26,59.0,8,0,1534.0,1759.1743119266055,0.0,At Risk Customers
200,39,Male,Japan,144866,92,31,69.57,7,0,2156.6699999999996,2826.5661861074705,1.0,Champions / Top Spenders
201,35,Male,UK,77456,36,12,37.41,2,0,448.91999999999996,2059.2660550458713,0.0,At Risk Customers
202,60,Male,USA,80281,65,39,54.85,13,0,2139.15,1509.633027522936,3.0,Loyal Customers
203,61,Male,Canada,124886,14,20,41.91,5,1,838.1999999999999,1537.9816513761466,2.0,New / Low Engagement
204,62,Male,Japan,166435,66,19,70.6,1,0,1341.3999999999999,12306.422018348623,3.0,Loyal Customers
205,35,Female,India,28789,15,26,38.65,11,1,1004.9,838.1150959132611,3.0,Loyal Customers
206,33,Male,India,29702,50,26,34.6,10,0,899.6,825.3211009174313,3.0,Loyal Customers
207,57,Male,Australia,132529,73,17,69.21,1,1,1176.57,10794.220183486237,0.0,At Risk Customers
208,60,Female,India,77262,82,31,56.65,9,0,1756.1499999999999,1790.1630988786953,0.0,At Risk Customers
209,29,Female,Brazil,77520,32,31,46.0,11,0,1426.0,1189.3244370308591,0.0,At Risk Customers
210,33,Male,USA,49090,72,29,51.39,10,0,1490.31,1367.256880733945,2.0,New / Low Engagement
211,46,Male,South Africa,45210,4,17,34.93,6,0,593.81,907.9663608562691,0.0,At Risk Customers
212,47,Female,USA,148118,86,22,69.3,3,0,1524.6,4662.385321100916,3.0,Loyal Customers
213,68,Male,India,31748,93,20,45.72,4,0,914.4,2097.2477064220184,1.0,Champions / Top Spenders
214,23,Female,India,29898,7,5,36.77,2,0,183.85000000000002,843.3486238532112,0.0,At Risk Customers
215,38,Male,Japan,66942,79,29,44.49,9,0,1290.21,1315.1987767584098,0.0,At Risk Customers
216,50,Male,India,52110,66,30,47.33,11,0,1419.8999999999999,1184.2368640533778,2.0,New / Low Engagement
217,65,Female,USA,96343,89,31,53.38,8,0,1654.78,1897.6834862385322,1.0,Champions / Top Spenders
218,59,Female,India,46263,38,6,39.46,0,0,236.76,2172.110091743119,0.0,At Risk Customers
219,29,Female,UK,71510,43,25,40.68,8,0,1017.0,1166.2844036697247,0.0,At Risk Customers
220,36,Male,Canada,69840,60,38,39.08,13,1,1485.04,1048.016937191249,0.0,At Risk Customers
221,38,Male,Germany,79084,58,34,48.24,11,0,1640.16,1367.9399499582985,0.0,At Risk Customers
222,35,Female,Germany,55733,34,33,38.19,14,0,1260.27,825.86500655308,2.0,New / Low Engagement
223,28,Female,Japan,70754,64,30,52.99,10,0,1589.7,1458.440366972477,1.0,Champions / Top Spenders
224,19,Female,Australia,59319,39,8,30.91,1,0,247.28,2268.623853211009,0.0,At Risk Customers
225,70,Male,UK,167680,18,34,50.8,11,0,1727.1999999999998,1440.5337781484568,2.0,New / Low Engagement
226,23,Female,Brazil,66659,64,19,38.88,5,0,738.72,1355.4495412844037,1.0,Champions / Top Spenders
227,18,Female,India,51688,54,8,32.36,0,0,258.88,2375.045871559633,2.0,New / Low Engagement
228,36,Male,France,51192,53,28,31.34,10,0,877.52,805.0642201834862,0.0,At Risk Customers
229,42,Male,France,27917,37,36,28.43,15,0,1023.48,625.9816513761468,0.0,At Risk Customers
230,47,Female,Germany,169641,51,32,61.3,9,0,1961.6,1999.5922528032618,2.0,New / Low Engagement
231,38,Female,UK,75507,79,15,45.68,2,0,685.2,3143.119266055046,0.0,At Risk Customers
232,42,Male,Germany,146169,29,26,49.3,7,0,1281.8,1679.9475753604193,0.0,At Risk Customers
233,31,Male,South Africa,61522,48,34,38.36,13,0,1304.24,920.4234297812279,0.0,At Risk Customers
234,31,Male,Germany,147719,59,39,54.83,12,0,2138.37,1634.8394495412842,1.0,Champions / Top Spenders
235,21,Male,USA,79168,27,5,34.47,0,1,172.35,1581.1926605504586,1.0,Champions / Top Spenders
236,18,Female,Brazil,34511,42,5,42.82,0,1,214.1,1964.2201834862385,0.0,At Risk Customers
237,56,Male,South Africa,45184,71,28,36.77,10,0,1029.5600000000002,944.5504587155964,0.0,At Risk Customers
238,58,Male,USA,174128,77,29,76.25,6,0,2211.25,3381.11620795107,1.0,Champions / Top Spenders
239,63,Male,South Africa,79329,4,6,38.13,0,0,228.78000000000003,2098.8990825688074,2.0,New / Low Engagement
240,27,Male,USA,113033,78,24,51.73,4,0,1241.52,2847.5229357798166,3.0,Loyal Customers
241,53,Female,India,80470,16,19,37.32,7,0,709.08,929.3315858453474,0.0,At Risk Customers
242,44,Female,USA,126205,97,23,74.21,3,0,1706.83,5219.663608562691,0.0,At Risk Customers
243,67,Male,USA,129780,91,46,56.99,15,0,2621.54,1603.3883792048932,1.0,Champions / Top Spenders
244,28,Female,India,77829,46,11,36.99,1,0,406.89000000000004,3732.9357798165142,3.0,Loyal Customers
245,57,Female,Canada,97705,34,20,45.61,6,0,912.2,1394.8012232415902,2.0,New / Low Engagement
246,31,Male,Canada,52934,46,28,49.64,10,0,1389.92,1275.1559633027523,0.0,At Risk Customers
247,64,Male,India,75523,26,30,43.78,12,1,1313.4,1004.1284403669725,2.0,New / Low Engagement
248,34,Male,Germany,58629,7,35,31.2,15,0,1092.0,667.8899082568807,1.0,Champions / Top Spenders
249,21,Female,France,62828,20,8,28.59,1,0,228.72,2098.348623853211,0.0,At Risk Customers
250,40,Male,UK,73841,75,42,47.3,15,0,1986.6,1215.045871559633,3.0,Loyal Customers
251,22,Male,India,61757,83,17,42.86,3,0,728.62,2228.195718654434,3.0,Loyal Customers
252,66,Female,Japan,92554,2,18,42.6,6,1,766.8000000000001,1172.4770642201836,2.0,New / Low Engagement
253,42,Female,Canada,55845,66,16,53.96,3,0,863.36,2640.2446483180424,0.0,At Risk Customers
254,65,Male,UK,64168,19,36,30.23,15,1,1088.28,665.6146788990825,1.0,Champions / Top Spenders
255,21,Male,France,50886,11,5,40.61,1,1,203.05,1862.844036697248,3.0,Loyal Customers
256,28,Male,Australia,105736,75,22,52.35,4,0,1151.7,2641.51376146789,3.0,Loyal Customers
257,45,Female,USA,110940,18,19,54.72,6,1,1039.68,1589.7247706422017,0.0,At Risk Customers
258,68,Male,Australia,123490,100,36,55.6,10,1,2001.6000000000001,1836.3302752293578,3.0,Loyal Customers
259,32,Female,Germany,58337,50,11,50.6,2,0,556.6,2553.211009174312,0.0,At Risk Customers
260,29,Female,USA,83566,32,25,46.23,8,0,1155.75,1325.401376146789,0.0,At Risk Customers
261,58,Male,Canada,137614,78,44,61.49,15,0,2705.56,1654.776758409786,0.0,At Risk Customers
262,54,Female,USA,88002,93,37,61.12,12,0,2261.44,1728.9296636085628,0.0,At Risk Customers
263,59,Female,UK,67320,45,30,49.32,10,1,1479.6,1357.4311926605506,0.0,At Risk Customers
264,69,Female,USA,101452,63,34,45.95,12,0,1562.3000000000002,1194.4189602446486,0.0,At Risk Customers
265,69,Female,Canada,86691,79,38,43.57,12,0,1655.66,1265.7951070336392,1.0,Champions / Top Spenders
266,26,Male,UK,63145,1,4,34.42,1,0,137.68,1263.119266055046,3.0,Loyal Customers
267,24,Male,South Africa,74983,27,14,44.28,4,0,619.9200000000001,1421.8348623853212,0.0,At Risk Customers
